1,GAME Clothing Women's Premier League,26977200,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Doncaster Hockey Club,3,2,Home Win,16,16,
1,GAME Clothing Men's Premier League,26977290,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Doncaster Hockey Club,3,1,Home Win,16,16,
1,GAME Clothing Women's Premier League Reserves,26977110,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Doncaster Hockey Club,1,1,Draw,16,15,
1,GAME Clothing Men's Premier League Reserves,26977380,Camberwell Hockey Club,CAM,Camberwell Hockey Club,Doncaster Hockey Club,5,3,Home Win,16,17,
1,Men's Vic League 3,26977200,Dandenong Hockey Centre,DAN,Greater Dandenong Warriors Hockey Club,Melton Hockey Club,4,4,Draw,14,13,
1,Men's Pennant D,26977290,Dandenong Hockey Centre,DAN,Greater Dandenong Warriors Hockey Club,Brunswick Hockey Club,3,1,Home Win,13,11,
1,Men's Metro C,26977110,Dandenong Hockey Centre,DAN,Greater Dandenong Warriors Hockey Club,Collegians X Hockey Club,2,1,Home Win,12,12,
1,Men's Metro B South East,26977110,Doncaster Hockey Centre,DON,Doncaster Hockey Club,Melbourne University Hockey Club,4,3,Home Win,16,15,
1,Women's Vic League 1,26977290,The Knox School,KNX,Knox Hockey Club,Brunswick Hockey Club,4,4,Draw,15,15,
1,Women's Vic League 1 Reserves,26977380,The Knox School,KNX,Knox Hockey Club,Brunswick Hockey Club,1,7,Away Win,16,13,
1,Men's Vic League 1,26977200,The Knox School,KNX,Knox Hockey Club,Mentone Hockey Club,2,4,Away Win,16,15,
1,Men's Vic League 1 Reserves,26977110,The Knox School,KNX,Knox Hockey Club,Mentone Hockey Club,0,8,Away Win,14,13,
1,Men's Pennant E,26977110,Southern United Hockey Club,MBN,Southern United Hockey Club,Yarra Valley Hockey Club,3,3,Draw,13,13,
1,Women's Pennant A,26977200,Southern United Hockey Club,MBN,Southern United Hockey Club,Footscray Hockey Club,1,1,Draw,14,14,
