Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Hedley Hull Field,HHF,12:30,Waverley Hockey Club,Melbourne University Hockey Club,2,2,Draw,15,14
Round 1,Men's Metro 2 East - 2023,16/04/2023,Hedley Hull Field,HHF,11:00,Waverley Hockey Club,Old Trinity Grammarians' Hockey Club,1,0,Home Win,14,13
Round 1,Men's Pennant B - 2023,16/04/2023,Hedley Hull Field,HHF,14:00,Waverley Hockey Club,Mentone Hockey Club,0,4,Away Win,13,14
Round 1,Men's Pennant E South East - 2023,16/04/2023,Hedley Hull Field,HHF,12:30,Waverley Hockey Club,Mentone Hockey Club,0,2,Away Win,13,13
Round 1,Women's Pennant B - 2023,16/04/2023,Hedley Hull Field,HHF,17:00,Waverley Hockey Club,Hawthorn Hockey Club,3,1,Home Win,13,13
Round 1,Women's Pennant D East - 2023,16/04/2023,Hedley Hull Field,HHF,15:30,Waverley Hockey Club,Mentone Hockey Club,1,1,Draw,15,12
Round 1,GAME Clothing Men's Premier League - 2023,16/04/2023,Mentone Grammar Playing Fields,MNT,15:30,Mentone Hockey Club,Altona Hockey Club,1,8,Away Win,15,16
Round 1,GAME Clothing Women's Premier League - 2023,16/04/2023,Mentone Grammar Playing Fields,MNT,14:00,Mentone Hockey Club,Altona Hockey Club,2,2,Draw,15,14
Round 1,GAME Clothing Men's Premier League Reserves - 2023,16/04/2023,Mentone Grammar Playing Fields,MNT,17:00,Mentone Hockey Club,Altona Hockey Club,3,2,Home Win,15,16
Round 1,GAME Clothing Women's Premier League Reserves - 2023,16/04/2023,Mentone Grammar Playing Fields,MNT,12:30,Mentone Hockey Club,Altona Hockey Club,7,0,Home Win,15,15
Round 1,Men's Vic League 2 - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,14:00,St Bede's Hockey Club,WestVic Hockey,2,4,Away Win,14,15
Round 1,Men's Vic League 2 Reserves - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,12:30,St Bede's Hockey Club,WestVic Hockey,2,3,Away Win,15,12
Round 1,Men's Metro 2 South - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,15:30,St. Bede's Hockey Club,Frankston Hockey Club 1,1,0,Home Win,15,13
Round 1,Women's Metro 1 South - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,11:00,Mentone Hockey Club,Casey Hockey Club,3,0,Home Win,11,13
Round 1,Women's Pennant A - 2023,16/04/2023,Mentone Grammar Playing Fields,MNT,18:30,Mentone Hockey Club,Southern United Hockey Club,3,2,Home Win,12,13
Round 1,Women's Pennant B - 2023,16/04/2023,Mentone Grammar Playing Fields,MNT,11:00,Mentone Hockey Club,Doncaster Hockey Club,3,1,Home Win,12,13
Round 1,Women's Pennant D East - 2023,15/04/2023,Mentone Grammar Playing Fields,MNT,17:00,St. Bede's Hockey Club,Monash University Hockey Club,1,0,Home Win,12,12
Round 1,GAME Clothing Men's Premier League - 2023,15/04/2023,Melbourne High School,MHS,15:30,MCC Hockey Section,Footscray Hockey Club,5,3,Home Win,16,14
Round 1,GAME Clothing Women's Premier League - 2023,15/04/2023,Melbourne High School,MHS,14:00,MCC Hockey Section,Footscray Hockey Club,0,2,Away Win,14,15
Round 1,GAME Clothing Men's Premier League Reserves - 2023,15/04/2023,Melbourne High School,MHS,17:00,MCC Hockey Section,Footscray Hockey Club,4,0,Home Win,15,15
Round 1,GAME Clothing Women's Premier League Reserves - 2023,15/04/2023,Melbourne High School,MHS,12:30,MCC Hockey Section,Footscray Hockey Club,0,12,Away Win,13,14
Round 1,Men's Vic League 2 - 2023,16/04/2023,Melbourne High School,MHS,14:00,Melbourne High School Old Boys Hockey Club,Collegians-X Hockey Club,1,1,Draw,15,14
Round 1,Men's Vic League 2 Reserves - 2023,16/04/2023,Melbourne High School,MHS,15:30,Melbourne High School Old Boys Hockey Club,Collegians-X Hockey Club,2,2,Draw,15,11
Round 1,Women's Vic League 2 - 2023,16/04/2023,Melbourne High School,MHS,12:30,Melbourne High School Old Boys Hockey Club,La Trobe University Hockey Club,0,2,Away Win,14,14
Round 1,Men's Metro 1 - 2023,16/04/2023,Melbourne High School,MHS,17:00,Melbourne High School Old Boys Hockey Club,Glen Eira Hockey Club,3,1,Home Win,12,16
Round 1,Women's Metro 1 East - 2023,16/04/2023,Melbourne High School,MHS,11:00,Melbourne High School Old Boys Hockey Club,Melbourne Razorbacks Hockey Club,0,4,Away Win,13,12
Round 1,Women's Pennant D East - 2023,15/04/2023,Melbourne High School,MHS,11:00,MCC Hockey Section,Knox Hockey Club,1,5,Away Win,12,12
Round 1,Men's Metro 2 North West - 2023,15/04/2023,Altona Hockey Club,ALT,12:30,Altona Hockey Club,Caroline Springs White,2,1,Home Win,13,12
Round 1,Men's Pennant B - 2023,15/04/2023,Altona Hockey Club,ALT,15:30,Altona Hockey Club,KBH Brumbies Hockey Club,3,2,Home Win,14,13
Round 1,Men's Pennant D North West - 2023,15/04/2023,Altona Hockey Club,ALT,14:00,Altona Hockey Club,Footscray Hockey Club,5,0,Home Win,14,14
Round 1,Women's Pennant D North West - 2023,16/04/2023,Altona Hockey Club,ALT,12:30,Altona Hockey Club,Craigieburn Falcons Hockey Club,3,3,Draw,14,16
Round 1,Men's Vic League 1 - 2023,16/04/2023,Brunswick Secondary College,BRU,14:00,Brunswick Hockey Club,Casey Hockey Club,7,2,Home Win,16,15
Round 1,Men's Vic League 1 Reserves - 2023,16/04/2023,Brunswick Secondary College,BRU,12:30,Brunswick Hockey Club,Casey Hockey Club,1,2,Away Win,15,12
Round 1,Women's Vic League 1 - 2023,16/04/2023,Brunswick Secondary College,BRU,15:30,Brunswick Hockey Club,Casey Hockey Club,1,5,Away Win,15,14
Round 1,Women's Vic League 1 Reserves - 2023,16/04/2023,Brunswick Secondary College,BRU,17:00,Brunswick Hockey Club,Casey Hockey Club,3,2,Home Win,15,14
Round 1,Men's Metro 2 North West - 2023,15/04/2023,Brunswick Secondary College,BRU,12:30,Brunswick Hockey Club,Hume Hockey Club,6,2,Home Win,13,15
Round 1,Men's Pennant D North West - 2023,15/04/2023,Brunswick Secondary College,BRU,15:30,Brunswick Hockey Club,MCC Hockey Section,4,3,Home Win,12,14
Round 1,Men's Pennant E North West - 2023,15/04/2023,Brunswick Secondary College,BRU,14:00,Brunswick Hockey Club,Hume Hockey Club,0,7,Away Win,13,13
Round 1,Women's Pennant C - 2023,15/04/2023,Brunswick Secondary College,BRU,17:00,Brunswick Hockey Club,Footscray Hockey Club,4,2,Home Win,16,12
Round 1,Women's Vic League 2 - 2023,16/04/2023,Brighton Secondary College,BTN,14:00,Bayside Cougars Hockey Club,Gippsland Strikers,2,3,Away Win,11,14
